Date,Open,High,Low,Close,Volume
15 06 2017,149.440002,152.559998,147.300003,151.759995,7319700
16 06 2017,151.449997,153.529999,150.389999,152.380005,6909700
19 06 2017,154.289993,155.580002,152.410004,153.399994,6544300
20 06 2017,153.679993,154.5,151.399994,152.050003,4878700
21 06 2017,152.5,155.380005,152.259995,155.029999,5803400
22 06 2017,155.130005,155.199997,153.699997,154.889999,3769200
23 06 2017,155.009995,158.190002,153.759995,158.020004,6250800
26 06 2017,158.779999,159.970001,156.559998,157.5,6016000
27 06 2017,156.619995,156.979996,150.720001,151.029999,7424300
28 06 2017,151.639999,154.199997,150.119995,153.410004,5589900
29 06 2017,152.820007,152.820007,148,150.089996,7142500
30 06 2017,149.759995,150.710007,148.419998,149.410004,5213300
03 07 2017,149.800003,150.449997,145.800003,146.169998,3908200
05 07 2017,146.580002,148.259995,145.580002,147.610001,4627800
06 07 2017,146.130005,147.270004,144.25,146.25,5486500
07 07 2017,146.649994,150.75,146.649994,150.179993,5561300
10 07 2017,150.339996,153.229996,149.649994,152.669998,5360600
11 07 2017,152.369995,155.229996,151.550003,154.330002,4898600
12 07 2017,155.770004,158.800003,155.770004,158.75,8481800
13 07 2017,158.509995,160.130005,156.979996,158.210007,6700100
14 07 2017,159.300003,161.350006,157.970001,161.119995,5549200
17 07 2017,162.910004,163.550003,160.020004,161.699997,17496700
18 07 2017,176.119995,185,174.240005,183.600006,41587400
19 07 2017,182.970001,187.169998,181.75,183.860001,17344300
20 07 2017,183.839996,185.919998,182.699997,183.600006,7907200
21 07 2017,182.720001,191.5,182.710007,188.539993,9277400
24 07 2017,188.690002,190.25,187.009995,187.910004,8797300
25 07 2017,187.789993,188.660004,185.809998,186.970001,5374500
26 07 2017,187.699997,189.699997,187.509995,189.080002,4479300
27 07 2017,189.889999,190,179.380005,182.679993,11221000
28 07 2017,182,185.029999,181.179993,184.039993,6201900
31 07 2017,184.259995,184.970001,180.649994,181.660004,4883600
